priority_number,priority_date,application_number,provisional,n,priority_country,application_country,filing_order,duplicate_priority
US2015265877P 2015-12-10,2015-12-10,US15348435A 2016-11-10,TRUE,3,US,US,1,FALSE
US2015265599P 2015-12-10,2015-12-10,US15348353A 2016-11-10,TRUE,3,US,US,1,FALSE
TW2015142066A 2015-12-15,2015-12-15,US15084628A 2016-03-30,FALSE,3,TW,US,1,FALSE
US2015263087P 2015-12-04,2015-12-04,US15367750A 2016-12-02,TRUE,3,US,US,1,FALSE
US2015263080P 2015-12-04,2015-12-04,US15367745A 2016-12-02,TRUE,3,US,US,1,FALSE
US2015249130P 2015-10-30,2015-10-30,US15336689A 2016-10-27,TRUE,9,US,US,1,FALSE
KR2015166610A 2015-11-26,2015-11-26,US15361318A 2016-11-25,FALSE,1,KR,US,1,FALSE
US14953422A 2015-11-30,2015-11-30,US14953422A 2015-11-30,FALSE,1,US,US,1,FALSE
US2015261260P 2015-11-30,2015-11-30,US15365739A 2016-11-30,TRUE,3,US,US,1,FALSE
KR2015168603A 2015-11-30,2015-11-30,US15293850A 2016-10-14,FALSE,1,KR,US,1,FALSE
US2015259737P 2015-11-25,2015-11-25,US15360493A 2016-11-23,TRUE,3,US,US,1,FALSE
US2015200764P 2015-08-04,2015-08-04,US15416568A 2017-01-26,TRUE,7,US,US,1,FALSE
US2015255995P 2015-11-16,2015-11-16,US15353653A 2016-11-16,TRUE,3,US,US,1,FALSE
US14737702A 2015-06-12,2015-06-12,US14737702A 2015-06-12,FALSE,1,US,US,1,FALSE
US2015265313P 2015-12-09,2015-12-09,US15202314A 2016-07-05,TRUE,3,US,US,1,FALSE
US14950927A 2015-11-24,2015-11-24,US14950927A 2015-11-24,FALSE,1,US,US,1,FALSE
US14950800A 2015-11-24,2015-11-24,US14950800A 2015-11-24,FALSE,1,US,US,1,FALSE
KR2015162639A 2015-11-19,2015-11-19,US15356458A 2016-11-18,FALSE,1,KR,US,1,FALSE
US2015255451P 2015-11-14,2015-11-14,US15339132A 2016-10-31,TRUE,5,US,US,1,FALSE
WO2014US36178A 2014-04-30,2014-04-30,US15129619A 2016-09-27,FALSE,1,WO,US,1,FALSE
US2014983486P 2014-04-24,2014-04-24,US15304918A 2016-10-18,TRUE,3,US,US,1,FALSE
US2015268312P 2015-12-16,2015-12-16,US15382210A 2016-12-16,TRUE,3,US,US,1,FALSE
US14967937A 2015-12-14,2015-12-14,US14967937A 2015-12-14,FALSE,1,US,US,1,FALSE
US2015266128P 2015-12-11,2015-12-11,US15375499A 2016-12-12,TRUE,3,US,US,1,FALSE
US14963677A 2015-12-09,2015-12-09,US14963677A 2015-12-09,FALSE,1,US,US,1,FALSE
CN201310668451A 2013-12-08,2013-12-08,US15102272A 2017-01-18,FALSE,2,CN,US,1,FALSE
KR2015171500A 2015-12-03,2015-12-03,US15365991A 2016-12-01,FALSE,1,KR,US,1,FALSE
US2015258629P 2015-11-23,2015-11-23,US15356997A 2016-11-21,TRUE,3,US,US,1,FALSE
US14938882A 2015-11-12,2015-11-12,US14938882A 2015-11-12,FALSE,1,US,US,1,FALSE
